<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210504,000000,26.9950000,27.2400000,26.1600000,26.5650000,68499
20210505,000000,26.5650000,26.7100000,26.1650000,26.5300000,37618
20210506,000000,26.5300000,27.5850000,26.2450000,27.4150000,81585
20210507,000000,27.4100000,27.8000000,27.2300000,27.5650000,75408
20210509,000000,27.6800000,27.7800000,27.5850000,27.7650000,1713
20210510,000000,27.7700000,28.0050000,27.3200000,27.4100000,60352
20210511,000000,27.4100000,27.7800000,27.1800000,27.6900000,57859
20210512,000000,27.6950000,27.8300000,27.0300000,27.1900000,72114
20210513,000000,27.1850000,27.3300000,26.7800000,27.1400000,57696
20210514,000000,27.1450000,27.5950000,26.9200000,27.5250000,54970
20210516,000000,27.5150000,27.6300000,27.4750000,27.5850000,1208
20210517,000000,27.5850000,28.4350000,27.4400000,28.3950000,72192
20210518,000000,28.3950000,28.9000000,28.1200000,28.2650000,71538
20210519,000000,28.2650000,28.3650000,27.4250000,27.7000000,102048
20210520,000000,27.7100000,28.1250000,27.4900000,27.8000000,48697
20210521,000000,27.8000000,28.1950000,27.2650000,27.6600000,73334
20210523,000000,27.6900000,27.6900000,27.6050000,27.6500000,856
20210524,000000,27.6550000,28.0150000,27.5500000,27.7900000,48590
20210525,000000,27.7850000,28.1600000,27.5450000,28.1100000,65341
20210526,000000,28.1150000,28.3400000,27.6850000,27.7600000,63047
20210527,000000,27.7650000,28.0150000,27.5750000,27.9950000,52509
20210528,000000,27.9950000,28.0950000,27.4800000,28.0650000,62104
20210530,000000,28.0600000,28.0900000,28.0300000,28.0600000,768
20210531,000000,28.0600000,28.2600000,27.9950000,28.1950000,21809
20210601,000000,28.1950000,28.7100000,27.9050000,27.9450000,82395
20210602,000000,27.9400000,28.3250000,27.7650000,28.2850000,49748
20210603,000000,28.2850000,28.3700000,27.0900000,27.5300000,98374
20210604,000000,27.5300000,27.9800000,27.3100000,27.9200000,70885
20210606,000000,27.9100000,27.9250000,27.8650000,27.8800000,552
20210607,000000,27.8750000,28.0850000,27.5950000,28.0300000,46193
20210608,000000,28.0250000,28.1200000,27.6100000,27.7350000,54809
20210609,000000,27.7300000,28.1450000,27.6200000,27.9400000,48644
20210610,000000,27.9350000,28.1800000,27.4750000,28.1050000,62106
20210611,000000,28.1100000,28.4450000,28.0250000,28.0500000,54472
20210613,000000,28.0950000,28.1250000,27.9250000,27.9500000,1646
20210614,000000,27.9550000,28.1600000,27.5650000,28.0100000,53743
20210615,000000,28.0050000,28.0300000,27.4850000,27.8150000,54482
20210616,000000,27.8150000,27.9700000,26.7000000,27.2450000,68185
20210617,000000,27.2450000,27.2950000,25.8200000,26.0650000,132028
20210618,000000,26.0650000,26.5550000,25.7700000,25.8450000,70305
20210620,000000,25.8650000,25.9750000,25.8450000,25.9350000,1362
20210621,000000,25.9350000,26.1350000,25.5800000,25.9850000,56439
20210622,000000,25.9850000,26.0850000,25.7350000,25.8250000,44233
20210623,000000,25.8200000,26.3700000,25.8000000,25.9100000,50743
20210624,000000,25.9100000,26.2450000,25.8650000,25.9900000,35475
20210625,000000,25.9900000,26.3800000,25.9700000,26.1900000,29823
20210627,000000,26.1900000,26.2150000,26.1700000,26.1950000,413
20210628,000000,26.1900000,26.2950000,25.8450000,26.1850000,25189
20210629,000000,26.1800000,26.2100000,25.5600000,25.9000000,3269
20210630,000000,25.8950000,26.2750000,25.8000000,26.2100000,41154
20210701,000000,26.2200000,26.5250000,26.0450000,26.1250000,49980
20210702,000000,26.1250000,26.7000000,26.1000000,26.5950000,52955
20210704,000000,26.6400000,26.6600000,26.5550000,26.5750000,486
20210705,000000,26.5700000,26.7600000,26.5000000,26.5400000,16682
20210706,000000,26.5400000,26.9100000,26.1000000,26.2050000,59184
20210707,000000,26.2000000,26.5450000,26.0600000,26.2250000,45650
20210708,000000,26.2200000,26.3100000,25.8750000,25.9950000,53689
20210709,000000,25.9950000,26.3000000,25.8200000,26.1850000,42452
20210711,000000,26.1850000,26.2100000,26.1600000,26.1900000,596
20210712,000000,26.1900000,26.3750000,25.9300000,26.3500000,40886
20210713,000000,26.3500000,26.4400000,26.0050000,26.0400000,48199
20210714,000000,26.0400000,26.5750000,26.0100000,26.3050000,61665
20210715,000000,26.3050000,26.4900000,26.2450000,26.4350000,33096
20210716,000000,26.4550000,26.5500000,25.6400000,25.7000000,72720
20210718,000000,25.7000000,25.7500000,25.6650000,25.7500000,1515
20210719,000000,25.7500000,25.8050000,25.0350000,25.2250000,80140
20210720,000000,25.2250000,25.3150000,24.8400000,24.9950000,60180
20210721,000000,24.9950000,25.3650000,24.7900000,25.3250000,48469
20210722,000000,25.3250000,25.5150000,25.0600000,25.4800000,44581
20210723,000000,25.4800000,25.5350000,25.0500000,25.2400000,37620
20210725,000000,25.2700000,25.2700000,25.2200000,25.2350000,453
20210726,000000,25.2300000,25.5100000,25.1750000,25.2250000,37816
20210727,000000,25.2200000,25.3200000,24.5150000,24.7600000,74032
20210728,000000,24.7650000,25.0850000,24.6600000,25.0850000,50388
20210729,000000,25.0850000,25.8750000,25.0500000,25.6000000,63839
20210730,000000,25.6000000,25.6850000,25.3950000,25.5500000,39673
20210801,000000,25.6250000,25.6250000,25.5350000,25.5650000,721
20210802,000000,25.5600000,25.6750000,25.3450000,25.4500000,47914
20210803,000000,25.4500000,25.6650000,25.2700000,25.6300000,42922
20210804,000000,25.6200000,26.0900000,25.3750000,25.4100000,67959
20210805,000000,25.4100000,25.5650000,25.1150000,25.1650000,39909
20210806,000000,25.1700000,25.2300000,24.2050000,24.3300000,90829
20210808,000000,24.3400000,24.3800000,22.2950000,23.5700000,15586
20210809,000000,23.5850000,24.0750000,23.2250000,23.4600000,81867
20210810,000000,23.4600000,23.6750000,23.2200000,23.3050000,49715
20210811,000000,23.3100000,23.5650000,23.1900000,23.5050000,50522
20210812,000000,23.5050000,23.5150000,22.9700000,23.1750000,51198
20210813,000000,23.1700000,23.8300000,23.1300000,23.7400000,47379
20210815,000000,23.6850000,23.6850000,23.6650000,23.6700000,57
20210816,000000,23.6700000,23.8950000,23.3800000,23.8950000,33837
20210817,000000,23.8950000,23.9550000,23.5650000,23.6500000,35727
20210818,000000,23.6550000,23.8300000,23.2650000,23.4700000,38401
20210819,000000,23.4700000,23.5000000,23.0800000,23.1850000,40706
20210820,000000,23.1900000,23.3000000,22.8350000,22.9700000,43483
20210822,000000,22.9850000,23.0350000,22.9250000,22.9500000,925
20210823,000000,22.9500000,23.7050000,22.9250000,23.6150000,44061
20210824,000000,23.6150000,23.9750000,23.5450000,23.8500000,38906
20210825,000000,23.8500000,23.9100000,23.5900000,23.8850000,31909
20210826,000000,23.8850000,23.8950000,23.4200000,23.5750000,33721
20210827,000000,23.5700000,24.1350000,23.3050000,24.0300000,36808
20210829,000000,24.0450000,24.1100000,24.0150000,24.0950000,74
20210830,000000,24.0650000,24.2200000,23.9050000,24.0700000,2508
20210831,000000,24.0650000,24.2700000,23.8300000,23.9400000,42962
20210901,000000,23.9400000,24.3250000,23.7750000,24.2000000,45427
20210902,000000,24.2050000,24.2750000,23.8150000,23.9250000,35455
20210903,000000,23.9250000,24.9450000,23.9100000,24.7950000,62427
20210905,000000,24.8650000,24.8750000,24.7850000,24.8100000,1049
20210906,000000,24.8100000,24.8900000,24.7000000,24.7500000,14937
20210907,000000,24.7450000,24.8950000,24.2100000,24.3850000,51891
20210908,000000,24.3900000,24.4800000,23.9400000,24.0200000,43584
20210909,000000,24.0200000,24.3550000,23.8650000,24.0950000,41146
20210910,000000,24.1000000,24.3450000,23.7600000,23.7600000,36761
20210912,000000,23.7900000,23.8350000,23.7700000,23.8000000,982
20210913,000000,23.8000000,23.8900000,23.3600000,23.7600000,44588
20210914,000000,23.7600000,23.9800000,23.4350000,23.8750000,40954
20210915,000000,23.8750000,23.9400000,23.6700000,23.9150000,31666
20210916,000000,23.9100000,24.0000000,22.5850000,22.9150000,82761
20210917,000000,22.9150000,23.1300000,22.3050000,22.3600000,60342
20210919,000000,22.3300000,22.3950000,22.1300000,22.3550000,3371
20210920,000000,22.3550000,22.5000000,22.0250000,22.2750000,46644
20210921,000000,22.2700000,22.7200000,22.2100000,22.4900000,39040
